2019-10-15 10:54:41,701:INFO:	log_frequency: 1000
2019-10-15 10:54:41,702:INFO:	n_epochs: 1
2019-10-15 10:54:41,702:INFO:	learning_rate: 0.001
2019-10-15 10:54:41,702:INFO:	use_char_lstm: False
2019-10-15 10:54:41,702:INFO:	train_path: data/en-ud-train.conllu
2019-10-15 10:54:41,702:INFO:	dev_path: data/en-ud-dev.conllu
2019-10-15 10:54:41,703:INFO:	test_path: data/en-ud-test.conllu
2019-10-15 10:54:41,703:INFO:	n_words: 9874
2019-10-15 10:54:41,703:INFO:	n_tags: 51
2019-10-15 10:54:41,704:INFO:	use_char_lstm: False
2019-10-15 10:54:41,704:INFO:	


2019-10-15 10:54:49,640:INFO:	Epoch 0 Iter 1000 Loss: 2.403137 Accuracy: 0.5729
2019-10-15 10:54:56,520:INFO:	Epoch 0 Iter 2000 Loss: 1.262856 Accuracy: 0.7175
2019-10-15 10:55:06,473:INFO:	Epoch 0 Iter 3000 Loss: 0.894419 Accuracy: 0.7628
2019-10-15 10:55:15,646:INFO:	Epoch 0 Iter 4000 Loss: 0.738715 Accuracy: 0.8010
2019-10-15 10:55:23,644:INFO:	Epoch 0 Iter 5000 Loss: 0.606017 Accuracy: 0.8180
2019-10-15 10:55:34,867:INFO:	Epoch 0 Iter 6000 Loss: 0.533065 Accuracy: 0.8345
2019-10-15 10:55:44,347:INFO:	Epoch 0 Iter 7000 Loss: 0.489240 Accuracy: 0.8436
2019-10-15 10:55:50,791:INFO:	Epoch 0 Iter 8000 Loss: 0.481318 Accuracy: 0.8469
2019-10-15 10:55:57,493:INFO:	Epoch 0 Iter 9000 Loss: 0.441122 Accuracy: 0.8596
2019-10-15 10:56:05,508:INFO:	Epoch 0 Iter 10000 Loss: 0.413570 Accuracy: 0.8568
2019-10-15 10:56:12,452:INFO:	Epoch 0 Iter 11000 Loss: 0.390313 Accuracy: 0.8634
2019-10-15 10:56:19,591:INFO:	Epoch 0 Iter 12000 Loss: 0.414785 Accuracy: 0.8729
2019-10-15 10:56:25,180:INFO:	Test accuracy: 0.8747260628760409
