2019-10-16 16:28:14,386:INFO:	log_frequency: 1000
2019-10-16 16:28:14,387:INFO:	n_epochs: 5
2019-10-16 16:28:14,387:INFO:	learning_rate: 0.001
2019-10-16 16:28:14,387:INFO:	train_path: data/en-ud-train.conllu
2019-10-16 16:28:14,387:INFO:	dev_path: data/en-ud-dev.conllu
2019-10-16 16:28:14,387:INFO:	test_path: data/en-ud-test.conllu
2019-10-16 16:28:14,387:INFO:	n_words: 9874
2019-10-16 16:28:14,387:INFO:	n_tags: 50
2019-10-16 16:28:14,387:INFO:	batch_size: 32
2019-10-16 16:28:14,387:INFO:	


2019-10-16 16:28:23,766:INFO:	Epoch 0 Iter 1024 Loss: 3.551117 Accuracy: 0.1487
2019-10-16 16:28:33,021:INFO:	Epoch 0 Iter 2016 Loss: 2.944704 Accuracy: 0.3004
2019-10-16 16:28:42,221:INFO:	Epoch 0 Iter 3008 Loss: 2.558563 Accuracy: 0.4014
2019-10-16 16:28:51,777:INFO:	Epoch 0 Iter 4000 Loss: 2.155655 Accuracy: 0.4794
2019-10-16 16:28:56,006:INFO:	Epoch 0 Iter 4032 Loss: 1.958555 Accuracy: 0.4823
2019-10-16 16:29:05,636:INFO:	Epoch 0 Iter 5024 Loss: 1.809136 Accuracy: 0.5289
2019-10-16 16:29:14,937:INFO:	Epoch 0 Iter 6016 Loss: 1.537942 Accuracy: 0.6269
2019-10-16 16:29:24,215:INFO:	Epoch 0 Iter 7008 Loss: 1.331239 Accuracy: 0.6862
2019-10-16 16:29:33,664:INFO:	Epoch 0 Iter 8000 Loss: 1.132709 Accuracy: 0.7271
2019-10-16 16:29:37,659:INFO:	Epoch 0 Iter 8032 Loss: 1.026913 Accuracy: 0.7370
2019-10-16 16:29:47,469:INFO:	Epoch 0 Iter 9024 Loss: 0.998139 Accuracy: 0.7689
2019-10-16 16:29:57,440:INFO:	Epoch 0 Iter 10016 Loss: 0.907290 Accuracy: 0.7984
2019-10-16 16:30:07,814:INFO:	Epoch 0 Iter 11008 Loss: 0.792415 Accuracy: 0.8221
2019-10-16 16:30:17,303:INFO:	Epoch 0 Iter 12000 Loss: 0.718349 Accuracy: 0.8226
2019-10-16 16:30:21,755:INFO:	Epoch 0 Iter 12032 Loss: 0.731761 Accuracy: 0.8286
2019-10-16 16:30:33,790:INFO:	Epoch 1 Iter 1024 Loss: 0.644982 Accuracy: 0.8494
2019-10-16 16:30:42,799:INFO:	Epoch 1 Iter 2016 Loss: 0.559394 Accuracy: 0.8627
2019-10-16 16:30:52,174:INFO:	Epoch 1 Iter 3008 Loss: 0.522103 Accuracy: 0.8641
2019-10-16 16:31:01,098:INFO:	Epoch 1 Iter 4000 Loss: 0.492388 Accuracy: 0.8751
2019-10-16 16:31:05,492:INFO:	Epoch 1 Iter 4032 Loss: 0.482925 Accuracy: 0.8756
2019-10-16 16:31:14,734:INFO:	Epoch 1 Iter 5024 Loss: 0.449817 Accuracy: 0.8790
2019-10-16 16:31:24,096:INFO:	Epoch 1 Iter 6016 Loss: 0.442935 Accuracy: 0.8799
2019-10-16 16:31:33,866:INFO:	Epoch 1 Iter 7008 Loss: 0.427272 Accuracy: 0.8779
2019-10-16 16:31:43,327:INFO:	Epoch 1 Iter 8000 Loss: 0.402208 Accuracy: 0.8885
2019-10-16 16:31:47,364:INFO:	Epoch 1 Iter 8032 Loss: 0.356215 Accuracy: 0.8872
2019-10-16 16:31:56,506:INFO:	Epoch 1 Iter 9024 Loss: 0.392774 Accuracy: 0.8872
2019-10-16 16:32:05,543:INFO:	Epoch 1 Iter 10016 Loss: 0.391990 Accuracy: 0.8917
2019-10-16 16:32:14,789:INFO:	Epoch 1 Iter 11008 Loss: 0.375899 Accuracy: 0.8802
2019-10-16 16:32:23,831:INFO:	Epoch 1 Iter 12000 Loss: 0.354660 Accuracy: 0.8926
2019-10-16 16:32:27,902:INFO:	Epoch 1 Iter 12032 Loss: 0.397739 Accuracy: 0.8914
2019-10-16 16:32:40,401:INFO:	Epoch 2 Iter 1024 Loss: 0.335134 Accuracy: 0.8950
2019-10-16 16:32:49,556:INFO:	Epoch 2 Iter 2016 Loss: 0.309535 Accuracy: 0.8953
2019-10-16 16:32:58,866:INFO:	Epoch 2 Iter 3008 Loss: 0.305593 Accuracy: 0.9001
2019-10-16 16:33:07,962:INFO:	Epoch 2 Iter 4000 Loss: 0.287477 Accuracy: 0.8973
2019-10-16 16:33:11,973:INFO:	Epoch 2 Iter 4032 Loss: 0.236426 Accuracy: 0.8976
2019-10-16 16:33:21,189:INFO:	Epoch 2 Iter 5024 Loss: 0.290549 Accuracy: 0.8998
2019-10-16 16:33:30,254:INFO:	Epoch 2 Iter 6016 Loss: 0.276761 Accuracy: 0.8949
2019-10-16 16:33:39,567:INFO:	Epoch 2 Iter 7008 Loss: 0.284150 Accuracy: 0.8928
2019-10-16 16:33:48,893:INFO:	Epoch 2 Iter 8000 Loss: 0.283389 Accuracy: 0.9034
2019-10-16 16:33:53,250:INFO:	Epoch 2 Iter 8032 Loss: 0.268391 Accuracy: 0.9035
2019-10-16 16:34:02,448:INFO:	Epoch 2 Iter 9024 Loss: 0.277497 Accuracy: 0.9007
2019-10-16 16:34:11,763:INFO:	Epoch 2 Iter 10016 Loss: 0.270425 Accuracy: 0.9067
2019-10-16 16:34:21,241:INFO:	Epoch 2 Iter 11008 Loss: 0.261216 Accuracy: 0.9063
2019-10-16 16:34:30,407:INFO:	Epoch 2 Iter 12000 Loss: 0.265682 Accuracy: 0.9027
2019-10-16 16:34:34,555:INFO:	Epoch 2 Iter 12032 Loss: 0.239952 Accuracy: 0.9015
2019-10-16 16:34:46,606:INFO:	Epoch 3 Iter 1024 Loss: 0.254302 Accuracy: 0.9059
2019-10-16 16:34:55,738:INFO:	Epoch 3 Iter 2016 Loss: 0.232217 Accuracy: 0.9099
2019-10-16 16:35:05,216:INFO:	Epoch 3 Iter 3008 Loss: 0.233519 Accuracy: 0.9091
2019-10-16 16:35:14,779:INFO:	Epoch 3 Iter 4000 Loss: 0.228581 Accuracy: 0.9069
2019-10-16 16:35:19,193:INFO:	Epoch 3 Iter 4032 Loss: 0.177787 Accuracy: 0.9070
2019-10-16 16:35:28,607:INFO:	Epoch 3 Iter 5024 Loss: 0.231648 Accuracy: 0.9014
2019-10-16 16:35:37,940:INFO:	Epoch 3 Iter 6016 Loss: 0.217372 Accuracy: 0.9030
2019-10-16 16:35:47,681:INFO:	Epoch 3 Iter 7008 Loss: 0.233608 Accuracy: 0.9041
2019-10-16 16:35:57,153:INFO:	Epoch 3 Iter 8000 Loss: 0.226325 Accuracy: 0.9119
2019-10-16 16:36:01,608:INFO:	Epoch 3 Iter 8032 Loss: 0.255151 Accuracy: 0.9109
2019-10-16 16:36:10,983:INFO:	Epoch 3 Iter 9024 Loss: 0.210229 Accuracy: 0.9106
2019-10-16 16:36:19,939:INFO:	Epoch 3 Iter 10016 Loss: 0.217680 Accuracy: 0.9099
2019-10-16 16:36:29,441:INFO:	Epoch 3 Iter 11008 Loss: 0.219448 Accuracy: 0.9107
2019-10-16 16:36:38,672:INFO:	Epoch 3 Iter 12000 Loss: 0.216892 Accuracy: 0.9136
2019-10-16 16:36:42,855:INFO:	Epoch 3 Iter 12032 Loss: 0.187417 Accuracy: 0.9137
2019-10-16 16:36:54,585:INFO:	Epoch 4 Iter 1024 Loss: 0.196848 Accuracy: 0.9115
2019-10-16 16:37:03,851:INFO:	Epoch 4 Iter 2016 Loss: 0.196977 Accuracy: 0.9112
2019-10-16 16:37:13,393:INFO:	Epoch 4 Iter 3008 Loss: 0.202935 Accuracy: 0.9112
2019-10-16 16:37:22,788:INFO:	Epoch 4 Iter 4000 Loss: 0.192677 Accuracy: 0.9160
2019-10-16 16:37:27,284:INFO:	Epoch 4 Iter 4032 Loss: 0.188977 Accuracy: 0.9163
2019-10-16 16:37:36,804:INFO:	Epoch 4 Iter 5024 Loss: 0.193130 Accuracy: 0.9124
2019-10-16 16:37:46,476:INFO:	Epoch 4 Iter 6016 Loss: 0.183435 Accuracy: 0.9105
2019-10-16 16:37:55,577:INFO:	Epoch 4 Iter 7008 Loss: 0.204102 Accuracy: 0.9068
2019-10-16 16:38:04,614:INFO:	Epoch 4 Iter 8000 Loss: 0.191744 Accuracy: 0.9130
2019-10-16 16:38:08,844:INFO:	Epoch 4 Iter 8032 Loss: 0.164955 Accuracy: 0.9144
2019-10-16 16:38:18,279:INFO:	Epoch 4 Iter 9024 Loss: 0.187241 Accuracy: 0.9139
2019-10-16 16:38:27,524:INFO:	Epoch 4 Iter 10016 Loss: 0.194432 Accuracy: 0.9157
2019-10-16 16:38:36,236:INFO:	Epoch 4 Iter 11008 Loss: 0.199250 Accuracy: 0.9117
2019-10-16 16:38:45,085:INFO:	Epoch 4 Iter 12000 Loss: 0.168099 Accuracy: 0.9151
2019-10-16 16:38:49,177:INFO:	Epoch 4 Iter 12032 Loss: 0.209259 Accuracy: 0.9159
2019-10-16 16:38:55,822:INFO:	Test accuracy: 0.9054468661593019
2019-10-16 16:38:55,841:INFO:	Elapsed time: 641.829206571
